"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2183","header elements presence","chromium","Mon Mar 03 15:17:16 GMT 2025","passed","Mon Mar 03 15:17:18 GMT 2025","","test/main.spec.ts","",""
"","3022","login with only login","chromium","Mon Mar 03 15:17:11 GMT 2025","passed","Mon Mar 03 15:17:14 GMT 2025","","test/login_TC004.spec.ts","",""
"","1734","Login with empty fields, TC004","chromium","Mon Mar 03 15:17:11 GMT 2025","passed","Mon Mar 03 15:17:13 GMT 2025","","test/login_TC004.spec.ts","",""
"","4368","Registration with different passwords, TC003","chromium","Mon Mar 03 15:17:21 GMT 2025","passed","Mon Mar 03 15:17:25 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","3587","login with only password","chromium","Mon Mar 03 15:17:11 GMT 2025","passed","Mon Mar 03 15:17:15 GMT 2025","","test/login_TC004.spec.ts","",""
"","3049","Registration without required fields, TC004","chromium","Mon Mar 03 15:17:21 GMT 2025","passed","Mon Mar 03 15:17:24 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","3000","Registration with empty fields, TC002","chromium","Mon Mar 03 15:17:19 GMT 2025","passed","Mon Mar 03 15:17:22 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","4686","login with invalid data","chromium","Mon Mar 03 15:17:11 GMT 2025","passed","Mon Mar 03 15:17:16 GMT 2025","","test/login_TC004.spec.ts","",""
"","4633","Registration with valid data, TC001","chromium","Mon Mar 03 15:17:18 GMT 2025","passed","Mon Mar 03 15:17:23 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","6505","Password recovery with a valid email, but without an activated account, TC005","chromium","Mon Mar 03 15:17:13 GMT 2025","passed","Mon Mar 03 15:17:19 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","6314","Password recovery with invalid email","chromium","Mon Mar 03 15:17:14 GMT 2025","passed","Mon Mar 03 15:17:21 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","5902","Password recovery with empty field","chromium","Mon Mar 03 15:17:15 GMT 2025","passed","Mon Mar 03 15:17:21 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
